,origin,destination,startdate,deptime,arrtime,stops,duration,layovers,airline,currency,price,url
51,HEL,LON,2023-11-30,3:30 pm , 11:15 pm,2,9h 45m,320,"airBaltic, Ryanair",USD,118,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
52,HEL,LON,2023-11-30,3:45 pm , 8:45 pm,1,7h 00m,180,"Norwegian, British Airways",USD,125,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
53,HEL,LON,2023-11-30,7:40 am , 2:30 pm,2,8h 50m,255,Norwegian,USD,140,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
54,HEL,LON,2023-11-30,1:15 pm , 4:55 pm,1,5h 40m,100,"Scandinavian Airlines, Norwegian",USD,145,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
55,HEL,LON,2023-11-30,7:00 am , 9:30 am,1,4h 30m,40,KLM,USD,179,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
56,HEL,LON,2023-11-30,6:20 pm , 11:15 pm,1,6h 55m,195,"Scandinavian Airlines, Ryanair",USD,133,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
57,HEL,LON,2023-11-30,6:10 pm , 8:50 pm,1,4h 40m,40,KLM,USD,179,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
58,HEL,LON,2023-11-30,1:55 pm , 4:35 pm,1,4h 40m,60,KLM,USD,179,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
59,HEL,LON,2023-11-30,12:00 pm , 4:45 pm,1,6h 45m,155,"Finnair, airBaltic",USD,136,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
60,HEL,LON,2023-11-30,10:15 am , 7:55 pm,1,11h 40m,470,Scandinavian Airlines,USD,122,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
61,HEL,LON,2023-11-30,12:05 pm , 4:55 pm,1,6h 50m,175,"Finnair, Norwegian",USD,137,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
