,origin,destination,startdate,deptime,arrtime,stops,duration,layovers,airline,currency,price,url
151,HEL,LON,2023-11-30,1:30 PM,9:40 PM,2,10 hr 10 min,295,"Scandinavian Airlines, SWISS, Operated by Xfly",USD,258,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
152,HEL,LON,2023-11-30,7:30 PM,5:05 PM+1,2,23 hr 35 min,1090,Lufthansa,USD,264,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
153,HEL,LON,2023-11-30,7:30 PM,5:05 PM+1,2,23 hr 35 min,1090,Lufthansa,USD,264,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
154,HEL,LON,2023-11-30,7:30 PM,5:05 PM+1,2,23 hr 35 min,1090,Lufthansa,USD,264,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
155,HEL,LON,2023-11-30,7:30 PM,5:05 PM+1,2,23 hr 35 min,1090,Lufthansa,USD,264,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
156,HEL,LON,2023-11-30,5:40 PM,8:00 AM+1,1,16 hr 20 min,695,Air France,USD,271,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
157,HEL,LON,2023-11-30,10:15 AM,5:40 PM,2,9 hr 25 min,280,"Scandinavian Airlines, Lufthansa, Operated by Xfly, Lufthansa CityLine",USD,272,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
158,HEL,LON,2023-11-30,1:30 PM,5:40 PM,2,6 hr 10 min,85,"Scandinavian Airlines, Lufthansa, Operated by Xfly, Lufthansa CityLine",USD,272,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
159,HEL,LON,2023-11-30,7:30 PM,10:20 AM+1,2,16 hr 50 min,685,Lufthansa,USD,282,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
160,HEL,LON,2023-11-30,7:00 AM,5:05 PM,2,12 hr 5 min,405,Lufthansa,USD,296,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
161,HEL,LON,2023-11-30,2:00 PM,5:05 PM,1,5 hr 5 min,45,Lufthansa,USD,299,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
162,HEL,LON,2023-11-30,7:25 AM,2:05 PM,2,8 hr 40 min,165,"Scandinavian Airlines, Austrian, Operated by Xfly",USD,303,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
163,HEL,LON,2023-11-30,8:10 AM,4:10 PM,1,10 hr,350,"Finnair, British Airways",USD,313,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
164,HEL,LON,2023-11-30,8:10 AM,1:05 PM,1,6 hr 55 min,170,"Finnair, British Airways",USD,326,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
165,HEL,LON,2023-11-30,9:20 PM,10:20 AM+1,2,15 hr,610,"Air Baltic, Lufthansa",USD,326,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
166,HEL,LON,2023-11-30,4:25 PM,10:20 AM+1,2,19 hr 55 min,900,"Scandinavian Airlines, Lufthansa, Operated by Xfly for Scandinavian Airlines",USD,327,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
167,HEL,LON,2023-11-30,3:30 PM,10:20 AM+1,2,20 hr 50 min,960,"Air Baltic, Lufthansa",USD,330,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
